"Mach","p","tp","x","Points:0","Points:1","Points:2"
1.3913,0.31802,0.99968,0.0021692,0.0141,0,0
1.4125,0.30868,0.99974,0.013415,0.0872,0,0
1.434,0.2994,0.99978,0.024661,0.1603,0,0
1.4553,0.29047,0.99983,0.035908,0.2334,0,0
1.4769,0.28164,0.99994,0.047154,0.3065,0,0
1.4991,0.27274,0.99991,0.0584,0.3796,0,0
1.5202,0.26452,0.99988,0.069646,0.4527,0,0
1.5425,0.25614,1.0003,0.080892,0.5258,0,0
1.565,0.24792,1.0007,0.092138,0.5989,0,0
1.5861,0.24022,1.0003,0.10338,0.672,0,0
1.6087,0.23232,1.0004,0.11463,0.7451,0,0
1.6303,0.22503,1.0005,0.12588,0.8182,0,0
1.6509,0.21822,1.0005,0.13712,0.8913,0,0
1.6722,0.21143,1.0009,0.14837,0.9644,0,0
1.695,0.20442,1.0014,0.15962,1.0375,0,0
1.7179,0.19749,1.0014,0.17086,1.1106,0,0
1.7393,0.19112,1.0011,0.18211,1.1837,0,0
1.7617,0.18488,1.0019,0.19335,1.2568,0,0
1.7839,0.17866,1.0015,0.2046,1.3299,0,0
1.805,0.17295,1.0014,0.21585,1.403,0,0
1.8275,0.16716,1.0018,0.22709,1.4761,0,0
1.8519,0.16095,1.0013,0.23834,1.5492,0,0
1.8764,0.15496,1.0013,0.24958,1.6223,0,0
1.9024,0.14903,1.0023,0.26083,1.6954,0,0
1.9326,0.14223,1.0023,0.27208,1.7685,0,0
1.9635,0.13555,1.0021,0.28332,1.8416,0,0
1.9906,0.12987,1.0014,0.29457,1.9147,0,0
2.0181,0.12475,1.0038,0.30582,1.9878,0,0
2.0464,0.11968,1.0064,0.31706,2.0609,0,0
2.0648,0.11625,1.0062,0.32831,2.134,0,0
2.0693,0.11467,0.99956,0.33955,2.2071,0,0
2.0727,0.11353,0.99492,0.3508,2.2802,0,0
2.0733,0.11346,0.99512,0.36205,2.3533,0,0
2.0738,0.11339,0.99533,0.37329,2.4264,0,0
2.0743,0.11332,0.99553,0.38454,2.4995,0,0
2.0734,0.11348,0.99549,0.39578,2.5726,0,0
2.0704,0.11397,0.99511,0.40703,2.6457,0,0
2.0633,0.11514,0.99433,0.41828,2.7188,0,0
2.0467,0.118,0.99279,0.42952,2.7919,0,0
2.0179,0.12327,0.99166,0.44077,2.865,0,0
1.9663,0.13346,0.99092,0.45202,2.9381,0,0
1.9092,0.1458,0.99081,0.46326,3.0112,0,0
1.8535,0.15871,0.98983,0.47451,3.0843,0,0
1.8042,0.17102,0.98894,0.48575,3.1574,0,0
1.7687,0.18069,0.98973,0.497,3.2305,0,0
1.7451,0.18701,0.98821,0.50825,3.3036,0,0
1.7355,0.1902,0.99054,0.51949,3.3767,0,0
1.7319,0.19153,0.99211,0.53074,3.4498,0,0
1.7309,0.19209,0.99354,0.54198,3.5229,0,0
1.7305,0.19224,0.99372,0.55323,3.596,0,0
1.73,0.1923,0.99329,0.56448,3.6691,0,0
1.7329,0.1915,0.99349,0.57572,3.7422,0,0
1.737,0.19041,0.9939,0.58697,3.8153,0,0
1.7423,0.18898,0.99447,0.59822,3.8884,0,0
1.7482,0.18743,0.99508,0.60946,3.9615,0,0
1.757,0.18499,0.9954,0.62071,4.0346,0,0
1.7668,0.1823,0.99563,0.63195,4.1077,0,0
1.7783,0.17901,0.995,0.6432,4.1808,0,0
1.7905,0.17567,0.99483,0.65445,4.2539,0,0
1.8045,0.172,0.99504,0.66569,4.327,0,0
1.8201,0.16802,0.99558,0.67694,4.4001,0,0
1.8362,0.16385,0.99509,0.68818,4.4732,0,0
1.8516,0.16002,0.99519,0.69943,4.5463,0,0
1.8673,0.15617,0.99483,0.71068,4.6194,0,0
1.8832,0.15235,0.99471,0.72192,4.6925,0,0
1.9004,0.14839,0.99492,0.73317,4.7656,0,0
1.9192,0.14419,0.99517,0.74442,4.8387,0,0
1.9394,0.13976,0.99535,0.75566,4.9118,0,0
1.961,0.13518,0.99549,0.76691,4.9849,0,0
1.9839,0.13048,0.99555,0.77815,5.058,0,0
2.0082,0.12569,0.99597,0.7894,5.1311,0,0
2.0346,0.12072,0.99672,0.80065,5.2042,0,0
2.061,0.11588,0.99694,0.81189,5.2773,0,0
2.0851,0.11138,0.99505,0.82314,5.3504,0,0
2.1087,0.10745,0.9959,0.83438,5.4235,0,0
2.1328,0.10333,0.99454,0.84563,5.4966,0,0
2.1562,0.09968,0.99518,0.85688,5.5697,0,0
2.1818,0.0958,0.99553,0.86812,5.6428,0,0
2.2088,0.091877,0.99596,0.87937,5.7159,0,0
2.2363,0.088058,0.99647,0.89062,5.789,0,0
2.2625,0.084435,0.99553,0.90186,5.8621,0,0
2.288,0.081178,0.99604,0.91311,5.9352,0,0
2.3139,0.077995,0.99656,0.92435,6.0083,0,0
2.3391,0.075052,0.99698,0.9356,6.0814,0,0
2.364,0.072196,0.99743,0.94685,6.1545,0,0
2.3894,0.069491,0.99854,0.95809,6.2276,0,0
2.4149,0.066848,0.99993,0.96934,6.3007,0,0
2.4409,0.064298,1.0013,0.98058,6.3738,0,0
2.4671,0.061791,1.0026,0.99183,6.4469,0,0
2.4902,0.059576,1.0019,1.0031,6.52,0,0
2.5115,0.057523,1.0001,1.0143,6.5931,0,0
2.5315,0.055733,0.99967,1.0256,6.6662,0,0
2.5508,0.054113,1.0001,1.0368,6.7393,0,0
2.5703,0.052533,1.0008,1.0481,6.8124,0,0
2.5902,0.050985,1.0017,1.0593,6.8855,0,0
2.6099,0.049504,1.0027,1.0706,6.9586,0,0
2.6295,0.048086,1.004,1.0818,7.0317,0,0
2.6493,0.046678,1.0048,1.093,7.1048,0,0
2.6693,0.04528,1.0051,1.1043,7.1779,0,0
2.6893,0.043953,1.006,1.1155,7.251,0,0
2.7094,0.042726,1.0076,1.1268,7.3241,0,0
2.7295,0.0415,1.0092,1.138,7.3972,0,0
2.7497,0.040274,1.0108,1.1493,7.4703,0,0
2.7688,0.039112,1.0116,1.1605,7.5434,0,0
2.7855,0.038109,1.0102,1.1718,7.6165,0,0
2.8023,0.037107,1.0089,1.183,7.6896,0,0
2.819,0.036104,1.0075,1.1943,7.7627,0,0
2.8355,0.035137,1.0064,1.2055,7.8358,0,0
