Density,Mach,Pressure,Temperature,x,Points:0,Points:1,Points:2,z,Gamma,1-gamma-1/M2
43.349,0.48466,866250,481.04,-0.68385,-4.445,0,0,0.783803329205167,0.702958035377575,-3.9601736271218
43.138,0.49482,861190,480.28,-0.6726,-4.3719,0,0,0.784275413795272,0.70212320271407,-3.7863091821607
42.928,0.50498,856140,479.53,-0.66135,-4.2988,0,0,0.784715951722307,0.701356134517238,-3.62285093944405
42.696,0.51572,850570,478.69,-0.65011,-4.2257,0,0,0.7852223390096,0.700460192047204,-3.46032346392751
42.454,0.5267,844770,477.81,-0.63886,-4.1526,0,0,0.785757911708054,0.699521663863906,-3.30425682955862
42.212,0.53769,838970,476.93,-0.62762,-4.0795,0,0,0.786285000672497,0.698608697295459,-3.15749336296573
41.966,0.54877,833080,476.04,-0.61637,-4.0064,0,0,0.786809900304783,0.697729666617318,-3.01835041406913
41.691,0.56057,826510,475.02,-0.60512,-3.9333,0,0,0.787441021238433,0.696623791167649,-2.87891776310962
41.415,0.57238,819930,474,-0.59388,-3.8602,0,0,0.788070189946801,0.69555936993302,-2.74788665832466
41.14,0.58419,813350,472.99,-0.58263,-3.7871,0,0,0.78865190210537,0.694589609909506,-2.6247524936411
40.848,0.59643,806420,471.9,-0.57138,-3.714,0,0,0.789340971308307,0.693452067717318,-2.50458277991521
40.543,0.60907,799160,470.76,-0.56014,-3.6409,0,0,0.790027907796541,0.69231548247015,-2.3879783893643
40.238,0.62172,791910,469.62,-0.54889,-3.5678,0,0,0.790709555285417,0.691217471086981,-2.27830023967567
39.932,0.63436,784660,468.48,-0.53765,-3.4947,0,0,0.791395409571258,0.690167658741002,-2.17517925167793
39.599,0.6479,776790,467.21,-0.5264,-3.4216,0,0,0.792193743214253,0.688883645138066,-2.07111556823219
39.263,0.6615,768870,465.94,-0.51515,-3.3485,0,0,0.792982440973339,0.687700229756303,-1.97298488195598
38.928,0.67511,760950,464.66,-0.50391,-3.2754,0,0,0.793748416865419,0.686515834951872,-1.88058805163785
38.582,0.68879,752800,463.34,-0.49266,-3.2023,0,0,0.794546300358682,0.685345519003072,-1.79313063468882
38.214,0.70264,744140,461.9,-0.48142,-3.1292,0,0,0.79544163451988,0.683938054262742,-1.70944744265108
37.845,0.71649,735480,460.46,-0.47017,-3.0561,0,0,0.796332753971371,6.94576648975262,-7.8937251377953
37.476,0.73033,726820,459.03,-0.45892,-2.983,0,0,0.797180560206326,6.92966601056127,-7.8044952526372
37.119,0.7441,718470,457.62,-0.44768,-2.9099,0,0,0.798052577684404,6.91451652175202,-7.72059821649817
36.767,0.75783,710260,456.22,-0.43643,-2.8368,0,0,0.798930446711258,6.9001847457473,-7.64141583532971
36.415,0.77155,702060,454.82,-0.42518,-2.7637,0,0,0.799794644961182,6.88654160000853,-7.5663968028735
36.063,0.7853,693830,453.42,-0.41394,-2.6906,0,0,0.800598330214682,6.87355598591526,-7.4951002379633
35.672,0.79965,684780,451.82,-0.40269,-2.6175,0,0,0.801645367932674,6.85930869775795,-7.42317678299841
35.282,0.814,675720,450.23,-0.39145,-2.5444,0,0,0.802607619484729,6.84590725325603,-7.35512252168506
34.891,0.82835,666670,448.63,-0.3802,-2.4713,0,0,0.803587762443139,6.83307880847309,-7.29045693443486
34.499,0.84272,657610,447.02,-0.36895,-2.3982,0,0,0.804561187743034,6.82079835063668,-7.22889802473618
34.105,0.85713,648540,445.37,-0.35771,-2.3251,0,0,0.805604501051894,6.80876714861665,-7.16991909397986
33.71,0.87154,639470,443.72,-0.34646,-2.252,0,0,0.806634045792319,6.79733408789731,-7.1138476932605
33.316,0.88594,630390,442.06,-0.33522,-2.1789,0,0,0.807605695136757,6.78638251542292,-7.06044691057889
32.909,0.90078,621100,440.33,-0.32397,-2.1058,0,0,0.8087097865262,6.77548317164064,-7.00791393386159
32.497,0.91581,611710,438.56,-0.31272,-2.0327,0,0,0.809836640128408,6.76486339522001,-6.95717353455624
32.085,0.93083,602320,436.79,-0.30148,-1.9596,0,0,0.810917520823333,6.75478255488316,-6.90892458338121
31.673,0.94588,592920,435.02,-0.29023,-1.8865,0,0,0.811936014418391,6.74521156250619,-6.86291841775231
31.238,0.96168,583110,433.09,-0.27898,-1.8134,0,0,0.813229722533385,6.73520536596421,-6.81648701321822
30.803,0.97749,573300,431.17,-0.26774,-1.7403,0,0,0.814450174128348,6.72580311198252,-6.77239015489515
30.369,0.99329,563480,429.24,-0.25649,-1.6672,0,0,0.815590124579494,6.71685257938648,-6.73040887035143
29.929,1.0093,553590,427.27,-0.24525,-1.5941,0,0,0.816803819532429,6.70818549758267,-6.68984178714434
29.478,1.0258,543510,425.21,-0.234,-1.521,0,0,0.818144820507687,6.69957775518993,-6.64990812994207
29.027,1.0422,533430,423.14,-0.22275,-1.4479,0,0,0.819436552245585,6.69142392000986,-6.61208092589113
28.576,1.0587,523360,421.08,-0.21151,-1.3748,0,0,0.820651194003181,6.68379699929138,-6.57598047193336
28.12,1.0755,513240,418.93,-0.20026,-1.3017,0,0,0.822030342975449,6.67624327087421,-6.54077148377985
27.662,1.0925,503100,416.74,-0.18902,-1.2286,0,0,0.823435683824196,6.6690076583706,-6.50683997670499
27.203,1.1095,492960,414.56,-0.17777,-1.1555,0,0,0.824767642416249,6.66228648106098,-6.47464060003146
26.745,1.1265,482820,412.37,-0.16652,-1.0824,0,0,0.825999371996691,6.65598003496386,-6.4440007023819
26.283,1.144,472710,410.08,-0.15528,-1.0093,0,0,0.827514088170804,6.64976662482123,-6.41386266863755
25.82,1.1616,462600,407.77,-0.14403,-0.9362,0,0,0.829007099333295,6.64395510484886,-6.38507213540992
25.358,1.1791,452500,405.47,-0.13278,-0.8631,0,0,0.830364912150714,6.63862752820943,-6.35790874818461
24.896,1.1968,442410,403.15,-0.12154,-0.79,0,0,0.831673427893477,6.63367950224415,-6.33184251805816
24.431,1.215,432400,400.73,-0.11029,-0.7169,0,0,0.833329422058778,6.62889657904127,-6.30630009137848
23.967,1.2332,422390,398.31,-0.099046,-0.6438,0,0,0.834839275203961,6.62457037504409,-6.28212671262993
23.503,1.2514,412370,395.9,-0.0878,-0.5707,0,0,0.836185034988396,6.62070887261854,-6.25927767747495
23.043,1.2698,402530,393.46,-0.076554,-0.4976,0,0,0.837688929835973,6.61718984420694,-6.23738640632839
22.59,1.2885,392900,390.99,-0.065308,-0.4245,0,0,0.839313634704704,6.61401664987083,-6.2163420173006
22.136,1.3073,383260,388.52,-0.054062,-0.3514,0,0,0.840824000029267,6.61127179509916,-6.19639790460871
