"Mach","x","Points:0","Points:1","Points:2"
0.11027,1.959,12.733,0,0
0.10069,1.9702,12.807,0,0
0.092512,1.9815,12.88,0,0
0.08433,1.9927,12.953,0,0
0.076148,2.004,13.026,0,0
0.067966,2.0152,13.099,0,0
0.062366,2.0265,13.172,0,0
0.057674,2.0377,13.245,0,0
0.052981,2.049,13.318,0,0
0.048289,2.0602,13.391,0,0
0.045077,2.0715,13.464,0,0
0.044525,2.0827,13.538,0,0
0.043974,2.094,13.611,0,0
0.043423,2.1052,13.684,0,0
0.042871,2.1164,13.757,0,0
0.042272,2.1277,13.83,0,0
0.041669,2.1389,13.903,0,0
0.041067,2.1502,13.976,0,0
0.040465,2.1614,14.049,0,0
0.043141,2.1727,14.122,0,0
0.048681,2.1839,14.195,0,0
0.054222,2.1952,14.269,0,0
0.059762,2.2064,14.342,0,0
0.065303,2.2177,14.415,0,0
0.070843,2.2289,14.488,0,0
0.076383,2.2402,14.561,0,0
0.081924,2.2514,14.634,0,0
0.087464,2.2626,14.707,0,0
0.092187,2.2739,14.78,0,0
0.096458,2.2851,14.853,0,0
0.10073,2.2964,14.926,0,0
0.105,2.3076,15,0,0
0.10927,2.3189,15.073,0,0
0.11354,2.3301,15.146,0,0
0.11781,2.3414,15.219,0,0
0.12209,2.3526,15.292,0,0
0.12636,2.3639,15.365,0,0
0.13404,2.3751,15.438,0,0
0.14324,2.3864,15.511,0,0
0.15244,2.3976,15.584,0,0
0.16163,2.4088,15.657,0,0
0.17083,2.4201,15.731,0,0
0.18003,2.4313,15.804,0,0
0.18922,2.4426,15.877,0,0
0.19842,2.4538,15.95,0,0
0.20762,2.4651,16.023,0,0
0.21793,2.4763,16.096,0,0
0.22876,2.4876,16.169,0,0
0.23959,2.4988,16.242,0,0
0.25043,2.5101,16.315,0,0
0.26126,2.5213,16.389,0,0
0.27209,2.5326,16.462,0,0
0.28292,2.5438,16.535,0,0
0.29376,2.555,16.608,0,0
0.30459,2.5663,16.681,0,0
0.31628,2.5775,16.754,0,0
0.32852,2.5888,16.827,0,0
0.34076,2.6,16.9,0,0
0.35301,2.6113,16.973,0,0
0.36525,2.6225,17.046,0,0
0.37749,2.6338,17.119,0,0
0.38973,2.645,17.193,0,0
0.40197,2.6563,17.266,0,0
0.41422,2.6675,17.339,0,0
0.42695,2.6788,17.412,0,0
0.44022,2.69,17.485,0,0
0.4535,2.7012,17.558,0,0
0.46678,2.7125,17.631,0,0
0.48005,2.7237,17.704,0,0
0.49333,2.735,17.777,0,0
0.5066,2.7462,17.851,0,0
0.51988,2.7575,17.924,0,0
0.53315,2.7687,17.997,0,0
0.54659,2.78,18.07,0,0
0.56045,2.7912,18.143,0,0
0.5743,2.8025,18.216,0,0
0.58816,2.8137,18.289,0,0
0.60201,2.825,18.362,0,0
0.61587,2.8362,18.435,0,0
0.62973,2.8474,18.508,0,0
0.64358,2.8587,18.581,0,0
0.65744,2.8699,18.655,0,0
0.67129,2.8812,18.728,0,0
0.68526,2.8924,18.801,0,0
0.69923,2.9037,18.874,0,0
0.7132,2.9149,18.947,0,0
0.72717,2.9262,19.02,0,0
0.74113,2.9374,19.093,0,0
0.7551,2.9487,19.166,0,0
0.76907,2.9599,19.239,0,0
0.78304,2.9712,19.312,0,0
0.79701,2.9824,19.386,0,0
0.81076,2.9936,19.459,0,0
0.82443,3.0049,19.532,0,0
0.83809,3.0161,19.605,0,0
0.85176,3.0274,19.678,0,0
0.86542,3.0386,19.751,0,0
0.87909,3.0499,19.824,0,0
0.89275,3.0611,19.897,0,0
0.90642,3.0724,19.97,0,0
0.92008,3.0836,20.043,0,0
0.9335,3.0949,20.117,0,0
0.9464,3.1061,20.19,0,0
0.95931,3.1174,20.263,0,0
0.97221,3.1286,20.336,0,0
0.98511,3.1398,20.409,0,0
0.99801,3.1511,20.482,0,0
1.0109,3.1623,20.555,0,0
1.0238,3.1736,20.628,0,0
1.0367,3.1848,20.701,0,0
1.0496,3.1961,20.774,0,0
